month,import
1999M01,2399845062
1999M02,2256560130
1999M03,2656303584
1999M04,2599207956
1999M05,2533475252
1999M06,2670938322
1999M07,2791640360
1999M08,2661455290
1999M09,2555295681
1999M10,2612624199
1999M11,2351642775
1999M12,2653469947
2000M01,2900849185
2000M02,2775144920
2000M03,2908071277
2000M04,2728169303
2000M05,2641931449
2000M06,2730329347
2000M07,2855651733
2000M08,2842449582
2000M09,3294233553
2000M10,3276141087
2000M11,2919802695
2000M12,2618099089
2001M01,3031155224
2001M02,2482110685
2001M03,3037402171
2001M04,3105061460
2001M05,2939857616
2001M06,2856881764
2001M07,2873159620
2001M08,2893639222
2001M09,2752002754
2001M10,2540952151
2001M11,2216795607
2001M12,2328142161
2002M01,2225785816
2002M02,2543971218
2002M03,3435733641
2002M04,3881243822
2002M05,3302515506
2002M06,3353373336
2002M07,3520285337
2002M08,3857012732
2002M09,3536524609
2002M10,3247166736
2002M11,3436504924
2002M12,2896396477
2003M01,3142485095
2003M02,3021435800
2003M03,3694218185
2003M04,3432718138
2003M05,3609650172
2003M06,3175460334
2003M07,3491615410
2003M08,3360194190
2003M09,3265383065
2003M10,3401221235
2003M11,3545748924
2003M12,3330381135
2004M01,3481404008
2004M02,3313652857
2004M03,3921992789
2004M04,3764804339
2004M05,3583997105
2004M06,3778070418
2004M07,3760773676
2004M08,3687633143
2004M09,3816873705
2004M10,4007923809
2004M11,3657579571
2004M12,3264507024
2005M01,3501396118
2005M02,3211228572
2005M03,3832010849
2005M04,4112555946
2005M05,3797998517
2005M06,4210263190
2005M07,3832986991
2005M08,4238873900
2005M09,4337202046
2005M10,4159123833
2005M11,3975165387
2005M12,4209377205
2006M01,3707182989
2006M02,3415251347
2006M03,4226604784
2006M04,4416675003
2006M05,4447840897
2006M06,4533998702
2006M07,4412450654
2006M08,4883658015
2006M09,4355481743
2006M10,4686409641
2006M11,4509656431
2006M12,4178473968
2007M01,3904161111
2007M02,3690137256
2007M03,4566515375
2007M04,4342796679
2007M05,4296137369
2007M06,4706535408
2007M07,5041563307
2007M08,4986612367
2007M09,4743796494
2007M10,5150645086
2007M11,5084213106
2007M12,5000629663
2008M01,4995763280
2008M02,4491460270
2008M03,5123010793
2008M04,4856957640
2008M05,4775682154
2008M06,5322249868
2008M07,5882357556
2008M08,5044108186
2008M09,4891088820
2008M10,4577741128
2008M11,3484679377
2008M12,3300961298
2009M01,3269937726
2009M02,3058781168
2009M03,3269832510
2009M04,3057230958
2009M05,3616585310
2009M06,4106944174
2009M07,4025962245
2009M08,3617293198
2009M09,3669908170
2009M10,3808286396
2009M11,3654514062
2009M12,3936259964
2010M01,4310255692
2010M02,3906250414
2010M03,4555823918
2010M04,4568356276
2010M05,4811756231
2010M06,4224948879
2010M07,4687766029
2010M08,4461161269
2010M09,4597217542
2010M10,4904460728
2010M11,4955778246
2010M12,4949141763
2011M01,5302439096
2011M02,4876579960
2011M03,5552507651
2011M04,5525435059
2011M05,4892571282
2011M06,4503899301
2011M07,5001324831
2011M08,5076381479
2011M09,5082890815
2011M10,5024485134
2011M11,5024010143
2011M12,4633315515
2012M01,5133542807
2012M02,4996477977
2012M03,5370972975
2012M04,4772792913
2012M05,5385843109
2012M06,5088932910
2012M07,4963153989
2012M08,5057239119
2012M09,5266133240
2012M10,5239912162
2012M11,5139130000
2012M12,5300320000
2013M01,4727030000
2013M02,4707490000
2013M03,4921840000
2013M04,5141400000
